realName,class,type,group,rename,rep
X34_Rep2_POS.mzML,sample,sample,RRMS,RRMS_12_2,RRMS_12
X35_Rep1_POS.mzML,sample,sample,RRMS,RRMS_13_1,RRMS_13
X35_Rep2_POS.mzML,sample,sample,RRMS,RRMS_13_2,RRMS_13
X36_Rep1_POS.mzML,sample,sample,RRMS,RRMS_14_1,RRMS_14
X36_Rep2_POS.mzML,sample,sample,RRMS,RRMS_14_2,RRMS_14
X37_Rep1_POS.mzML,sample,sample,RRMS,RRMS_15_1,RRMS_15
X37_Rep2_POS.mzML,sample,sample,RRMS,RRMS_15_2,RRMS_15
X38_Rep1_POS.mzML,sample,sample,RRMS,RRMS_16_1,RRMS_16
X38_Rep2_POS.mzML,sample,sample,RRMS,RRMS_16_2,RRMS_16
X39_Rep1_POS.mzML,sample,sample,RRMS,RRMS_17_1,RRMS_17
X39_Rep2_POS.mzML,sample,sample,RRMS,RRMS_17_2,RRMS_17
X4_Rep1_POS.mzML,sample,sample,Control,Control_9_1,Control_9
X4_Rep2_POS.mzML,sample,sample,Control,Control_9_2,Control_9
X40_Rep1_POS.mzML,sample,sample,RRMS,RRMS_18_1,RRMS_18
X40_Rep2_POS.mzML,sample,sample,RRMS,RRMS_18_2,RRMS_18
X41_Rep1_POS.mzML,sample,sample,RRMS,RRMS_19_1,RRMS_19
X41_Rep2_POS.mzML,sample,sample,RRMS,RRMS_19_2,RRMS_19
X42_Rep1_POS.mzML,sample,sample,RRMS,RRMS_20_1,RRMS_20
X42_Rep2_POS.mzML,sample,sample,RRMS,RRMS_20_2,RRMS_20
X43_Rep1_POS.mzML,sample,sample,RRMS,RRMS_21_1,RRMS_21
X43_Rep2_POS.mzML,sample,sample,RRMS,RRMS_21_2,RRMS_21
X44_Rep1_POS.mzML,sample,sample,RRMS,RRMS_22_1,RRMS_22
X44_Rep2_POS.mzML,sample,sample,RRMS,RRMS_22_2,RRMS_22
X45_Rep1_POS.mzML,sample,sample,RRMS,RRMS_23_1,RRMS_23
X45_Rep2_POS.mzML,sample,sample,RRMS,RRMS_23_2,RRMS_23
X46_Rep1_POS.mzML,sample,sample,RRMS,RRMS_24_1,RRMS_24
X46_Rep2_POS.mzML,sample,sample,RRMS,RRMS_24_2,RRMS_24
X47_Rep1_POS.mzML,sample,sample,RRMS,RRMS_25_1,RRMS_25
X47_Rep2_POS.mzML,sample,sample,RRMS,RRMS_25_2,RRMS_25
X48_Rep1_POS.mzML,sample,sample,RRMS,RRMS_26_1,RRMS_26
X48_Rep2_POS.mzML,sample,sample,RRMS,RRMS_26_2,RRMS_26
X49_Rep1_POS.mzML,sample,sample,SPMS,SPMS_9_1,SPMS_9
X49_Rep2_POS.mzML,sample,sample,SPMS,SPMS_9_2,SPMS_9
X5_Rep1_POS.mzML,sample,sample,Control,Control_10_1,Control_10
X5_Rep2_POS.mzML,sample,sample,Control,Control_10_2,Control_10
X50_Rep1_POS.mzML,sample,sample,SPMS,SPMS_10_1,SPMS_10
X50_Rep2_POS.mzML,sample,sample,SPMS,SPMS_10_2,SPMS_10
X51_Rep1_POS.mzML,sample,sample,SPMS,SPMS_11_1,SPMS_11
X51_Rep2_POS.mzML,sample,sample,SPMS,SPMS_11_2,SPMS_11
X52_Rep1_POS.mzML,sample,sample,SPMS,SPMS_12_1,SPMS_12
X52_Rep2_POS.mzML,sample,sample,SPMS,SPMS_12_2,SPMS_12
X53_Rep1_POS.mzML,sample,sample,SPMS,SPMS_13_1,SPMS_13
X53_Rep2_POS.mzML,sample,sample,SPMS,SPMS_13_2,SPMS_13
X54_Rep1_POS.mzML,sample,sample,SPMS,SPMS_14_1,SPMS_14
X54_Rep2_POS.mzML,sample,sample,SPMS,SPMS_14_2,SPMS_14
X55_Rep1_POS.mzML,sample,sample,SPMS,SPMS_15_1,SPMS_15
X55_Rep2_POS.mzML,sample,sample,SPMS,SPMS_15_2,SPMS_15
X56_Rep1_POS.mzML,sample,sample,SPMS,SPMS_16_1,SPMS_16
X56_Rep2_POS.mzML,sample,sample,SPMS,SPMS_16_2,SPMS_16
X6_Rep1_POS.mzML,sample,sample,RRMS,RRMS_27_1,RRMS_27
X6_Rep2_POS.mzML,sample,sample,RRMS,RRMS_27_2,RRMS_27
X7_Rep1_POS.mzML,sample,sample,RRMS,RRMS_28_1,RRMS_28
X7_Rep2_POS.mzML,sample,sample,RRMS,RRMS_28_2,RRMS_28
X8_Rep1_POS.mzML,sample,sample,RRMS,RRMS_29_1,RRMS_29
X8_Rep2_POS.mzML,sample,sample,RRMS,RRMS_29_2,RRMS_29
X9_Rep1_POS.mzML,sample,sample,RRMS,RRMS_30_1,RRMS_30
X9_Rep2_POS.mzML,sample,sample,RRMS,RRMS_30_2,RRMS_30
